Tanggal,SU,KU,CH
10/6/2009,20.6,94,36
10/7/2009,20.4,92,11
10/8/2009,21.2,82,21
10/9/2009,22.6,78,5
10/10/2009,21.8,84,0
10/11/2009,21.7,83,9
10/12/2009,21.5,84,0
10/13/2009,20.8,84,14
10/14/2009,20.8,83,15
10/15/2009,20.6,89,24
10/16/2009,22.3,84,10
10/17/2009,22.3,73,0
10/18/2009,22,78,0
10/19/2009,24.2,53,0
10/20/2009,23.6,59,0
10/21/2009,21.8,82,0
10/22/2009,21.4,78,5
10/23/2009,20.8,81,26
10/24/2009,21.4,84,14
10/25/2009,23.7,59,43
10/26/2009,21.1,86,0
10/27/2009,21.6,82,2
10/28/2009,21.6,77,25
10/29/2009,21.8,88,32
10/30/2009,23.3,70,0
10/31/2009,22,79,0
11/1/2009,21.7,86,9
11/2/2009,23.8,69,0
11/3/2009,23.6,68,0
11/4/2009,24.5,68,1
11/5/2009,23.4,78,0
11/6/2009,22,86,1
11/7/2009,21.8,86,13
11/8/2009,22.7,78,0
11/9/2009,21.7,87,1
11/10/2009,21.7,90,2
11/11/2009,22.6,83,5
11/12/2009,21.7,86,48
11/13/2009,21.1,90,8
11/14/2009,21.6,89,50
11/15/2009,21,92,2
11/16/2009,21.4,88,12
11/17/2009,20.6,88,0
11/18/2009,21,88,17
11/19/2009,20.4,86,18.5
11/20/2009,21,89,20
11/21/2009,20.7,92,16
11/22/2009,21.3,84,6
11/23/2009,22.5,78,32
11/24/2009,20.6,88,0
11/25/2009,19.5,93,47
11/26/2009,20.8,96,10
11/27/2009,21.8,87,4
11/28/2009,20.4,90,0
11/29/2009,21.6,88,4
11/30/2009,21.5,87,4
12/1/2009,21.3,84,2
12/2/2009,21,85,8
12/3/2009,22.7,80,0
12/4/2009,21.6,83,4
12/5/2009,20.9,90,15
12/6/2009,22.9,75,14
12/7/2009,21.7,81,5
12/8/2009,21.2,90,4
12/9/2009,21.5,90,0
12/10/2009,21.5,84,0
12/11/2009,22,86,31
12/12/2009,22.5,82,16.5
12/13/2009,21.8,92,2
12/14/2009,21.2,89,3
12/15/2009,20.6,86,8
12/16/2009,21.6,74,6
12/17/2009,21.7,83,0
12/18/2009,21.8,76,0
12/19/2009,21.9,67,0
12/20/2009,21.8,77,0
12/21/2009,21.3,87,1
12/22/2009,20.7,89,0
12/23/2009,21.8,83,1
12/24/2009,21.3,94,13
12/25/2009,20.8,92,14
12/26/2009,20.2,95,50
12/27/2009,21,90,30
12/28/2009,20.8,92,6
12/29/2009,21,88,6
12/30/2009,20.6,89,7.5
12/31/2009,22,83,9
1/1/2010,21.8,82,7
1/2/2010,22.9,76,0
1/3/2010,21.8,86,0
1/4/2010,21.7,85,2
1/5/2010,21.5,87,12
1/6/2010,21.6,85,2
1/7/2010,19.9,86,13
1/8/2010,19.8,93,20
1/9/2010,20.3,91,4
1/10/2010,19.8,94,56
1/11/2010,20.5,91,2
1/12/2010,20.3,96,20
1/13/2010,19.3,99,5
1/14/2010,19.4,98,27
1/15/2010,19.3,92,18
1/16/2010,18.8,99,9
1/17/2010,19.7,98,24
1/18/2010,21,80,24
1/19/2010,19.9,96,0
1/20/2010,20.1,88,48
1/21/2010,20.5,85,6
1/22/2010,19.5,93,4
1/23/2010,21.6,85,30
1/24/2010,20.9,90,2
1/25/2010,20.7,88,1
1/26/2010,20.6,94,1
1/27/2010,21,86,2
1/28/2010,20.4,90,3
1/29/2010,21,89,26
1/30/2010,21.1,92,23
1/31/2010,21.2,92,28
2/1/2010,21.5,87,0
2/2/2010,20.8,88,4
2/3/2010,21.4,90,40
2/4/2010,21.2,92,5
2/5/2010,20.8,93,7
2/6/2010,21.2,91,14
2/7/2010,21.8,86,2
2/8/2010,21.6,89,10
2/9/2010,21,90,1
2/10/2010,21.7,87,44
2/11/2010,21.2,90,33
2/12/2010,20.8,89,4
2/13/2010,20.9,91,115
2/14/2010,20.4,96,2
2/15/2010,21.4,87,46
2/16/2010,21.4,90,5
2/17/2010,21.4,91,34
2/18/2010,20.5,97,46
2/19/2010,20.7,94,30
2/20/2010,21.6,84,30
2/21/2010,21.5,88,8
2/22/2010,21.3,90,10.5
2/23/2010,22.2,85,13
2/24/2010,21.2,92,20
2/25/2010,21.2,88,10
2/26/2010,22.2,81,5
2/27/2010,22.1,85,0
2/28/2010,22.1,88,1
3/1/2010,21.5,86,2
3/2/2010,21.5,80,11
3/3/2010,22,84,50
3/4/2010,22,90,23
3/5/2010,21.5,92,10
3/6/2010,22.7,84,0
3/7/2010,22.1,86,3
3/8/2010,22.5,88,0
3/9/2010,21.7,90,10
3/10/2010,21.1,94,0
3/11/2010,20,97,30
3/12/2010,21.3,91,60
3/13/2010,21.3,86,30
3/14/2010,22.1,83,0
3/15/2010,20.6,88,3
3/16/2010,20.9,91,58
3/17/2010,19.8,96,68.5
3/18/2010,20.9,88,79
3/19/2010,21.3,86,19
3/20/2010,21.3,91,15
3/21/2010,21.3,92,6
3/22/2010,21.6,82,10
3/23/2010,21.3,88,1
3/24/2010,21.3,90,18
3/25/2010,22.5,87,5
3/26/2010,22.8,83,18
3/27/2010,22.7,81,0
3/28/2010,20.8,90,8
3/29/2010,21.1,82,3
3/30/2010,20.5,90,3
3/31/2010,21.9,84,30
4/1/2010,22.9,77,1
4/2/2010,23.2,76,0
4/3/2010,21.7,86,3
4/4/2010,23,78,1
4/5/2010,22.2,81,5
4/6/2010,22.7,68,1
4/7/2010,23,79,0.5
4/8/2010,22.6,82,0
4/9/2010,22.7,79,0
4/10/2010,22.4,78,0
4/11/2010,21,88,8
4/12/2010,22.5,75,18
4/13/2010,22.3,75,6
4/14/2010,21.9,89,1
4/15/2010,22.9,86,10
4/16/2010,21.2,80,6.5
4/17/2010,22.6,82,3
4/18/2010,21.8,73,0
4/19/2010,22.4,76,0
4/20/2010,22.7,72,0
4/21/2010,22.5,80,3
4/22/2010,23,87,13
4/23/2010,23.1,82,0
4/24/2010,22.8,84,1
4/25/2010,23.2,73,0
4/26/2010,23.1,78,0
4/27/2010,22.6,78,0
4/28/2010,22.6,84,0
4/29/2010,22.2,84,8
4/30/2010,22.2,86,2
5/1/2010,23.5,81,0
5/2/2010,23.1,81,0
5/3/2010,22.9,81,0
5/4/2010,23.5,80,0
5/5/2010,23.2,80,0
5/6/2010,24.4,67,0
5/7/2010,23.1,84,0
5/8/2010,21.3,92,13
5/9/2010,22.1,85,30
5/10/2010,21.7,91,19
5/11/2010,22,90,56
5/12/2010,22.2,84,4
5/13/2010,21.3,93,2
5/14/2010,21.3,90,11
5/15/2010,22.7,85,33
5/16/2010,21.1,91,5
5/17/2010,23.4,85,21
5/18/2010,23.4,80,0
5/19/2010,23.1,82,0
5/20/2010,21.3,92,7
5/21/2010,22.7,79,19
5/22/2010,22.4,82,7
5/23/2010,22,88,3
5/24/2010,21.7,91,16
5/25/2010,22.3,83,3
5/26/2010,22.7,86,1
5/27/2010,21.3,87,21
5/28/2010,22.1,86,0
5/29/2010,21.8,82,0
5/30/2010,22,86,10
5/31/2010,22.5,85,20
6/1/2010,21.9,90,8
6/2/2010,22.5,88,6
6/3/2010,22.4,89,0
6/4/2010,21.4,92,37
6/5/2010,21.4,92,8
6/6/2010,21,90,7
6/7/2010,21.1,91,4
6/8/2010,20.5,94,1
6/9/2010,21.5,80,119
6/10/2010,21.4,82,0
6/11/2010,22.4,73,0
6/12/2010,21,89,0
6/13/2010,21.7,77,12
6/14/2010,22.2,86,0
6/15/2010,21.2,92,9.5
6/16/2010,19.8,91,19
6/17/2010,20.3,88,4
6/18/2010,21.1,84,0
6/19/2010,22.2,78,8
6/20/2010,23.1,82,0
6/21/2010,22.2,83,0
6/22/2010,21.6,78,0
6/23/2010,21.1,82,0
6/24/2010,21.2,89,0
6/25/2010,21.4,94,11
6/26/2010,21,90,8
6/27/2010,22.3,88,5
6/28/2010,21.1,91,0
6/29/2010,20.5,91,0
6/30/2010,21.6,89,10
7/1/2010,22.1,80,5.5
7/2/2010,21.1,87,1
7/3/2010,20.7,87,0
7/4/2010,21.9,82,19
7/5/2010,22,80,1
7/6/2010,21.8,86,1
7/7/2010,21,89,3
7/8/2010,19.8,86,1
7/9/2010,20.6,88,2
7/10/2010,21.3,84,10
7/11/2010,21.7,84,0
7/12/2010,21.4,89,0
7/13/2010,21.1,86,5
7/14/2010,21.4,80,0
7/15/2010,22.5,75,0
7/16/2010,21.4,81,0
7/17/2010,20.8,88,1.5
7/18/2010,20.5,90,3
7/19/2010,20,93,29
7/20/2010,21.3,87,33
7/21/2010,21.5,87,16.5
7/22/2010,21.4,75,0
7/23/2010,20.8,79,0
7/24/2010,21.1,82,0
7/25/2010,21.6,82,0
7/26/2010,21.7,89,0
7/27/2010,19.8,96,7
7/28/2010,21.1,86,4
7/29/2010,22.4,86,13
